Nombre,Categorías
Hablar,Hablar?
Palabra,Palabra?
Justicia,Justicia
Realidad,Realidad
Día,Día
Noche,Noche
Reflexión,Reflexi(ón|ones)
Ley,Ley(es)?
Naturaleza,Natural(ezas?)?
Materia,Material?
Salud,Salud
Enfermedad,Enfermedad(es)?
Verdad,Verdad(es)?
Opinión,Opini(ón|ones|ar)
Sentido,Sentidos?
Pregunta,Preguntas?
Felicidad,Felicidad
Vida,Vida
Trabajar,Trabaj(o|ar)
Pensar,Pensa(r|miento)
Gente,Gentes?
Recurso,Recursos?
Problemas,Problemas?
Insensatez,Insensate(z|ces)
Dios,Dios
Astucia,Astucia
Mal,Mal(es)?
Inteligencia,Inteligencia
Dinero,Dinero
Valor,Valor(ar)?
Juicio,J(uic|uz)(cio|gar)
Admirar,Admirar
Aspirar,Aspirar
Dar,Dar
Comida,Comida
Pobreza,Pobre(s|za)?
Avanzar,Avan(ce|zar?)?
Conversación,Conversa(r|ción)?
Consciencia,Cons?ciencia
Socializar,Social(iza)?(r|ción)?
Apariencias,Apariencias?
Violencia,Violencias?
Razón,Razón
Actos,Actos?
Manifestación,Manifestaci(ón|ones)
Sufrimiento,Sufr(i|e)(r|miento)
Mente,Mente
Conocimiento,(In)?Conoc(er|imiento)
Preceptos,Preceptos?
Armonía,Armonía
Cambiar,Cambi(o|ar)
Mundo,Mundo
Fe,Fe
Causas,Causas?
Muerte,M(ue|o)r(ir|t?e)
Industria,Industria
Lenguaje,Lenguajes?
Alma,Alma
Entendimiento,Enti?end(er|imiento)
Definición,Defini(r|ción|ciones)
Mercader,Mercad(er|o)
Vender,Ven(ta|der)
Necesidad,Necesi(dad|tar)(es)?
Querencia,Quer(er|encia)
Sustento,Sustento
Distracción,Distracci(ón|ones)?
Vicio,Vicios?
Placer,(Com)placer(es)?
Motivación,(Des)Motiva(r|ci(ón|ones))
Coherencia,(In)coheren(te|cia)s?
Aberración,Aberraci(ón|ones)
Actos,Actos?
Alimentación,Alimenta(r|ción)
Animales,Animal(es)
Aversión,Aversi(ón|ones)
Ayudar,Ayudar?
Cielo,Cielo
Clases,Clases?
Competencia,Competencia
Consecuencia,Consecuencias?
Consumidor,Consumidor
Copias,Copias?
Crianzas,Cria(r|nza)
Cuerpo,Cuerpo
Cultura,Culturas?
Decencia,Decen(te|cia)
Disfrutar,Disfrut(e|ar)
Dominio,Dominan(te|cia|io)
Drogas,Drogas?
Enfermedad,Enfermedad(es)?
Engaño,Engaños?
Esclavitud,Esclav(os?|itud)
Esperanza,Esperanzas?
Espíritu,Esp(i|í)rit(ual|o)(idad)?
Gusto,Gustos?
Humanidad,Humanidad(es)?
Iluminación,Ilumina(r|ción)
Ilusión,Ilusi(ón|ones)
Música,Música
Obra,Obra(ar|s)
Odio,Odi(o|ar)
Oportunidad,Oportunidad(es)?
Orden,Orden
Percepción,Perc(epci(ón|ones)|ibir)
Poder,Poder
Preocupación,Preocupaci(ón|ones)
Prójimo,Prójimo
Proletario,Proletari(ado|o)
Responsabilidad,Responsabili(zar|dad(es)?)
Sabiduría,Sab(er|iduría)
Salvar,Salvar
Secreto,Secretos?
Sensatez,Sensatez
Sexualidad,Sex(o|ual(idad)?)
Superficialidad,Superficial(idad)
Tiempo,Tiempo
Abundancia,Abundancia
Aceptación,Acepta(r|ción)
Bien,B(u|i)en
Ciencia,Ciencia
Conformidad,Conformi(smo|dad)
Desprecio,Despreci(o|ar)
Envidia,Envidia
Familia,Familia(r|res)
Gratificación,Gratifica(r|ción)
Humanos,Hombres?|Humanos?|Personas?
Ingenuidad,Ingenuidad
Jactancia,Jacta(r|ncia)
Locuras,Locuras?
Masificación,Masifica(r|ci(ón|ones))
Miseria,Miserias?
Padres,Padres?
Sobras,Sobras?
Adicción,Adicci(ón|ones)
Artificio,Artificios?
Culpa,Culpa(ble|s)
Derecho,Derechos?
Enseñanza,Enseña(r|nza)
Comprensión,(In)compren(ción|dido)
Mal,Mal(os?)?
Maquina,Maquinas?(ci(ón|ones))?
