Categoría,Texto
Enfermedad,"El hombre tratan a los llamados criminales como tratan a las llamadas enfermedades, como problemas en sí, no como consecuencias de un propio problema"
Problemas,"El hombre tratan a los llamados criminales como tratan a las llamadas enfermedades, como problemas en sí, no como consecuencias de un propio problema"
Consecuencia,"El hombre tratan a los llamados criminales como tratan a las llamadas enfermedades, como problemas en sí, no como consecuencias de un propio problema"
Enfermedad,"El hombre tratan a los llamados criminales como tratan a las llamadas enfermedades, como problemas en sí, no como consecuencias de un propio problema"
Humanos,"El hombre tratan a los llamados criminales como tratan a las llamadas enfermedades, como problemas en sí, no como consecuencias de un propio problema"
Enfermedad,"El suicidio es el colmo de la discordia entre el cuerpo y la muerte. Hay quienes sobre su vida manda más el cuerpo que la mente, llenos de miedos y frustraciones, y del otro lado, hay quienes les manda más la mente que el cuerpo, llenos de excesos y enfermedades. En el medio están aquellos cuya mente busca, escucha y entiende al cuerpo, libre de frustraciones y enfermedades"
Vida,"El suicidio es el colmo de la discordia entre el cuerpo y la muerte. Hay quienes sobre su vida manda más el cuerpo que la mente, llenos de miedos y frustraciones, y del otro lado, hay quienes les manda más la mente que el cuerpo, llenos de excesos y enfermedades. En el medio están aquellos cuya mente busca, escucha y entiende al cuerpo, libre de frustraciones y enfermedades"
Mente,"El suicidio es el colmo de la discordia entre el cuerpo y la muerte. Hay quienes sobre su vida manda más el cuerpo que la mente, llenos de miedos y frustraciones, y del otro lado, hay quienes les manda más la mente que el cuerpo, llenos de excesos y enfermedades. En el medio están aquellos cuya mente busca, escucha y entiende al cuerpo, libre de frustraciones y enfermedades"
Muerte,"El suicidio es el colmo de la discordia entre el cuerpo y la muerte. Hay quienes sobre su vida manda más el cuerpo que la mente, llenos de miedos y frustraciones, y del otro lado, hay quienes les manda más la mente que el cuerpo, llenos de excesos y enfermedades. En el medio están aquellos cuya mente busca, escucha y entiende al cuerpo, libre de frustraciones y enfermedades"
Cuerpo,"El suicidio es el colmo de la discordia entre el cuerpo y la muerte. Hay quienes sobre su vida manda más el cuerpo que la mente, llenos de miedos y frustraciones, y del otro lado, hay quienes les manda más la mente que el cuerpo, llenos de excesos y enfermedades. En el medio están aquellos cuya mente busca, escucha y entiende al cuerpo, libre de frustraciones y enfermedades"
Enfermedad,"El suicidio es el colmo de la discordia entre el cuerpo y la muerte. Hay quienes sobre su vida manda más el cuerpo que la mente, llenos de miedos y frustraciones, y del otro lado, hay quienes les manda más la mente que el cuerpo, llenos de excesos y enfermedades. En el medio están aquellos cuya mente busca, escucha y entiende al cuerpo, libre de frustraciones y enfermedades"
Dios,Donde haya humano habrá guerrero de Dios
Humanos,Donde haya humano habrá guerrero de Dios
Astucia,"Nada es más violento, cruel e inmoral que la astucia"
Pensar,"Solo Dios ha de juzgar. Pero sobre alguien va a recaer toda la sangre derramada, y no es sensato pensar que serán estos criminales, todos movidos al crimen por algo más criminoso e inmoral, pero astutamente generoso a los ojos"
Dios,"Solo Dios ha de juzgar. Pero sobre alguien va a recaer toda la sangre derramada, y no es sensato pensar que serán estos criminales, todos movidos al crimen por algo más criminoso e inmoral, pero astutamente generoso a los ojos"
Juicio,"Solo Dios ha de juzgar. Pero sobre alguien va a recaer toda la sangre derramada, y no es sensato pensar que serán estos criminales, todos movidos al crimen por algo más criminoso e inmoral, pero astutamente generoso a los ojos"
Enfermedad,"No se debe mezclar un guerrero de Dios con un asesino. El guerrero de Dios aunque susceptible a la desconsideración por el pecado de otros que actúan superficialmente similar, cuando actúa se deja distinguir. Su comportamiento es limpio, intachable e irreprochable como el ataque de un animal que es acorralado, como una enfermedad que por falta de cuidado es provocada, y se da a la admiración. Promueve a quien lo ve a ser como el"
Dios,"No se debe mezclar un guerrero de Dios con un asesino. El guerrero de Dios aunque susceptible a la desconsideración por el pecado de otros que actúan superficialmente similar, cuando actúa se deja distinguir. Su comportamiento es limpio, intachable e irreprochable como el ataque de un animal que es acorralado, como una enfermedad que por falta de cuidado es provocada, y se da a la admiración. Promueve a quien lo ve a ser como el"
Enfermedad,"No se debe mezclar un guerrero de Dios con un asesino. El guerrero de Dios aunque susceptible a la desconsideración por el pecado de otros que actúan superficialmente similar, cuando actúa se deja distinguir. Su comportamiento es limpio, intachable e irreprochable como el ataque de un animal que es acorralado, como una enfermedad que por falta de cuidado es provocada, y se da a la admiración. Promueve a quien lo ve a ser como el"
Justicia,"La justicia no se armará como el hombre para hacerse valer. Así debe velar por la justicia el hombre. La justicia no se afana. Cuando se defienden de las enfermedades, las enfermedades se hacen más fuertes, pero no más astutas que el artificio del hombre"
Enfermedad,"La justicia no se armará como el hombre para hacerse valer. Así debe velar por la justicia el hombre. La justicia no se afana. Cuando se defienden de las enfermedades, las enfermedades se hacen más fuertes, pero no más astutas que el artificio del hombre"
Enfermedad,"La justicia no se armará como el hombre para hacerse valer. Así debe velar por la justicia el hombre. La justicia no se afana. Cuando se defienden de las enfermedades, las enfermedades se hacen más fuertes, pero no más astutas que el artificio del hombre"
