Categoría,Texto
Entendimiento,"El que es humano puede entender una sola cosa entre todas las expresiones, aún cuando estas parecen contradecirse, entienden lo que no dicen las palabras. Nadie lea las palabras, que de las palabras nada se va a entender"
Humanos,"El que es humano puede entender una sola cosa entre todas las expresiones, aún cuando estas parecen contradecirse, entienden lo que no dicen las palabras. Nadie lea las palabras, que de las palabras nada se va a entender"
Hablar,"Nadie habla más mal sobre las masas que las minorías que más representan su insensatez. Nadie busca diferenciarse más de las masas que la minoría superficial y materialista. Porque eso es lo que son, los más ordinarios y vulgares entre todo el vulgo y la gente ordinaria. Lo único que los diferencia es la clase de disimulo que se manejan. Cuando el disimulo se deja ver, nada es más desagradable que el disimulo mismo. Como un perfume en una persona descuidada, es tan desagradable tan solo el perfume que lleva que ya no importa ni a que huele de verdad. Ser mayoría no es ni de lejos tan malo como se suele hablar. Las minorías suelen ser peores por todo lo que se les puede criticar ser a las mayorías, y peor aún, con el descaro de serlo sin moderación y de manera disimulada"
Verdad,"Nadie habla más mal sobre las masas que las minorías que más representan su insensatez. Nadie busca diferenciarse más de las masas que la minoría superficial y materialista. Porque eso es lo que son, los más ordinarios y vulgares entre todo el vulgo y la gente ordinaria. Lo único que los diferencia es la clase de disimulo que se manejan. Cuando el disimulo se deja ver, nada es más desagradable que el disimulo mismo. Como un perfume en una persona descuidada, es tan desagradable tan solo el perfume que lleva que ya no importa ni a que huele de verdad. Ser mayoría no es ni de lejos tan malo como se suele hablar. Las minorías suelen ser peores por todo lo que se les puede criticar ser a las mayorías, y peor aún, con el descaro de serlo sin moderación y de manera disimulada"
Gente,"Nadie habla más mal sobre las masas que las minorías que más representan su insensatez. Nadie busca diferenciarse más de las masas que la minoría superficial y materialista. Porque eso es lo que son, los más ordinarios y vulgares entre todo el vulgo y la gente ordinaria. Lo único que los diferencia es la clase de disimulo que se manejan. Cuando el disimulo se deja ver, nada es más desagradable que el disimulo mismo. Como un perfume en una persona descuidada, es tan desagradable tan solo el perfume que lleva que ya no importa ni a que huele de verdad. Ser mayoría no es ni de lejos tan malo como se suele hablar. Las minorías suelen ser peores por todo lo que se les puede criticar ser a las mayorías, y peor aún, con el descaro de serlo sin moderación y de manera disimulada"
Insensatez,"Nadie habla más mal sobre las masas que las minorías que más representan su insensatez. Nadie busca diferenciarse más de las masas que la minoría superficial y materialista. Porque eso es lo que son, los más ordinarios y vulgares entre todo el vulgo y la gente ordinaria. Lo único que los diferencia es la clase de disimulo que se manejan. Cuando el disimulo se deja ver, nada es más desagradable que el disimulo mismo. Como un perfume en una persona descuidada, es tan desagradable tan solo el perfume que lleva que ya no importa ni a que huele de verdad. Ser mayoría no es ni de lejos tan malo como se suele hablar. Las minorías suelen ser peores por todo lo que se les puede criticar ser a las mayorías, y peor aún, con el descaro de serlo sin moderación y de manera disimulada"
Mal,"Nadie habla más mal sobre las masas que las minorías que más representan su insensatez. Nadie busca diferenciarse más de las masas que la minoría superficial y materialista. Porque eso es lo que son, los más ordinarios y vulgares entre todo el vulgo y la gente ordinaria. Lo único que los diferencia es la clase de disimulo que se manejan. Cuando el disimulo se deja ver, nada es más desagradable que el disimulo mismo. Como un perfume en una persona descuidada, es tan desagradable tan solo el perfume que lleva que ya no importa ni a que huele de verdad. Ser mayoría no es ni de lejos tan malo como se suele hablar. Las minorías suelen ser peores por todo lo que se les puede criticar ser a las mayorías, y peor aún, con el descaro de serlo sin moderación y de manera disimulada"
Clases,"Nadie habla más mal sobre las masas que las minorías que más representan su insensatez. Nadie busca diferenciarse más de las masas que la minoría superficial y materialista. Porque eso es lo que son, los más ordinarios y vulgares entre todo el vulgo y la gente ordinaria. Lo único que los diferencia es la clase de disimulo que se manejan. Cuando el disimulo se deja ver, nada es más desagradable que el disimulo mismo. Como un perfume en una persona descuidada, es tan desagradable tan solo el perfume que lleva que ya no importa ni a que huele de verdad. Ser mayoría no es ni de lejos tan malo como se suele hablar. Las minorías suelen ser peores por todo lo que se les puede criticar ser a las mayorías, y peor aún, con el descaro de serlo sin moderación y de manera disimulada"
Humanos,"Nadie habla más mal sobre las masas que las minorías que más representan su insensatez. Nadie busca diferenciarse más de las masas que la minoría superficial y materialista. Porque eso es lo que son, los más ordinarios y vulgares entre todo el vulgo y la gente ordinaria. Lo único que los diferencia es la clase de disimulo que se manejan. Cuando el disimulo se deja ver, nada es más desagradable que el disimulo mismo. Como un perfume en una persona descuidada, es tan desagradable tan solo el perfume que lleva que ya no importa ni a que huele de verdad. Ser mayoría no es ni de lejos tan malo como se suele hablar. Las minorías suelen ser peores por todo lo que se les puede criticar ser a las mayorías, y peor aún, con el descaro de serlo sin moderación y de manera disimulada"
Mal,"Nadie habla más mal sobre las masas que las minorías que más representan su insensatez. Nadie busca diferenciarse más de las masas que la minoría superficial y materialista. Porque eso es lo que son, los más ordinarios y vulgares entre todo el vulgo y la gente ordinaria. Lo único que los diferencia es la clase de disimulo que se manejan. Cuando el disimulo se deja ver, nada es más desagradable que el disimulo mismo. Como un perfume en una persona descuidada, es tan desagradable tan solo el perfume que lleva que ya no importa ni a que huele de verdad. Ser mayoría no es ni de lejos tan malo como se suele hablar. Las minorías suelen ser peores por todo lo que se les puede criticar ser a las mayorías, y peor aún, con el descaro de serlo sin moderación y de manera disimulada"
